COUNTY,On_Premises,Online_Only,Hybird,POPULATION
ADAMS,0,0,1,27960
ALLEN,0.47,0.05,0.48,106160
ASHLAND,0,0.13,0.73,53973
ASHTABULA,0.26,0.11,0.63,98637
ATHENS,0,0.36,0.64,67121
AUGLAIZE,0.79,0,0.21,46441
BELMONT,0.21,0.14,0.31,69738
BROWN,0,0.14,0.44,44644
BUTLER,0.22,0.61,0.11,383683
CARROLL,0.21,0,0.79,28342
CHAMPAIGN,0.54,0,0.46,39686
CLARK,0.1,0,0.35,136118
CLERMONT,0.17,0.52,0.21,207047
CLINTON,0.23,0.37,0.4,42835
COLUMBIANA,0.12,0.2,0.51,104768
COSHOCTON,0,0,1,36517
CRAWFORD,0.54,0.46,0,42887
CUYAHOGA,0.03,0.44,0.23,1256007
DARKE,0.24,0.43,0.33,52255
DEFIANCE,0.51,0,0.49,38671
DELAWARE,0,0.56,0.44,200271
ERIE,0.11,0,0.76,75969
FAIRFIELD,0,0.05,0.95,154686
FAYETTE,0,0,1,28901
FRANKLIN,0,0.63,0.37,1283688
FULTON,0.52,0,0.3,43046
GALLIA,0,0.47,0,30178
GEAUGA,0.2,0.26,0.54,95079
GREENE,0.15,0,0.61,164894
GUERNSEY,0,0,1,40217
HAMILTON,0.02,0.47,0.42,824286
HANCOCK,0.05,0,0.95,76096
HARDIN,0.55,0,0.45,32035
HENRY,0.9,0,0.1,28103
HIGHLAND,0.62,0,0.38,43401
HOCKING,0,0,1,28798
HOLMES,0.27,0.42,0.31,44547
HURON,0.27,0,0.61,59187
JACKSON,0,0.3,0.47,32585
JEFFERSON,0.53,0,0.47,68324
KNOX,0.23,0.32,0,62424
LAKE,0.06,0.08,0.56,232189
LAWRENCE,0.34,0,0.66,61501
LICKING,0.13,0.16,0.62,173198
LOGAN,0.63,0,0.37,46730
LORAIN,0,0.11,0.84,307873
LUCAS,0.06,0.6,0.34,434635
MADISON,0.17,0,0.52,45193
MAHONING,0.03,0.15,0.62,228561
MARION,0,0,0.52,65815
MEDINA,0.26,0,0.21,179953
MEIGS,0.26,0,0.74,23468
MERCER,0.89,0.11,0,41581
MIAMI,0.31,0,0.69,106439
MONROE,0,0,0,14881
MONTGOMERY,0.09,0.34,0.43,533054
MORGAN,0,0,1,15051
MORROW,0.24,0,0.41,35214
MUSKINGUM,0,0,1,86392
NOBLE,0,0,1,14654
OTTAWA,0.35,0,0.65,41634
PAULDING,1,0,0,18969
PERRY,0.29,0,0.71,36317
PICKAWAY,0,0,0.84,57777
PIKE,0.41,0.41,0.19,28427
PORTAGE,0,0.08,0.84,165891
PREBLE,0.23,0,0.77,41983
PUTNAM,0.39,0,0.49,34371
RICHLAND,0.08,0.22,0.56,122462
ROSS,0.41,0.11,0.48,78124
SANDUSKY,0,0,0.44,59603
SCIOTO,0,0.26,0.74,77997
SENECA,0.06,0,0.69,56072
SHELBY,0.23,0,0.77,49965
STARK,0.09,0.11,0.76,380527
SUMMIT,0.04,0.38,0.54,546646
TRUMBULL,0.02,0.07,0.7,202898
TUSCARAWAS,0.06,0.14,0.8,94102
UNION,0,0,1,56196
VAN WERT,0.82,0,0.18,28824
WARREN,0.46,0.04,0.51,230546
WASHINGTON,0.12,0,0.88,61549
WAYNE,0.25,0,0.56,117082
WILLIAMS,0.71,0,0.2,37663
WOOD,0.14,0.15,0.62,131905
WYANDOT,0,0,1,22340